,raw_f1_score,filtered_f1_score,raw_kappa,filtered_kappa
DOE2=T02_OneByOne=20161223_1_2.csv,0.5371428571428571,0.3668571428571429,0.1473684210526316,0.07446300715990473
DOE2=T02_OneByOne=20161223_6_1.csv,0.7069109075770191,0.5928393005828476,0.1827784049611061,0.06883725354959924
DOE2=T02_OneByOne=20161223_6_2.csv,0.4852809991079393,0.39161462979482603,0.0036660674648836267,0.007851310455090466
DOE2=T02_OneByOne=20161223_6_3.csv,0.8536184210526315,0.9013157894736842,0.1814111097664287,0.5319236296448367
DOE2=T02_OneByOne=20161226_1_1.csv,0.5811965811965812,0.37179487179487186,0.16495521083679265,-0.08641273450824327
DOE2=T02_OneByOne=20161226_4_1.csv,0.5899725274725275,0.3873626373626374,0.2457071452125167,0.10458932168824375
DOE2=T02_OneByOne=20161226_4_2.csv,0.5685131195335277,0.27113702623906705,0.2044008400463906,0.0373605155032668
DOE2=T02_OneByOne=20161227_2_1.csv,0.6166219839142091,0.546916890080429,0.06184152669070453,0.09532283758377713
DOE2=T02_OneByOne=20161227_2_3.csv,0.7321739130434782,0.6347826086956522,0.35009174311926605,0.2247191011235955
DOE2=T02_OneByOne=20161227_5_1.csv,0.6398362892223738,0.47066848567530695,0.14699814863792648,0.06691601049868767
DOE2=T02_OneByOne=20180320_1_1.csv,0.5991561181434599,0.540084388185654,0.07173778602350034,-0.015488030189866109
DOE2=T02_OneByOne=20180320_1_2.csv,0.5670103092783505,0.3917525773195876,0.0,0.0
DOE2=T02_OneByOne=20180320_1_3.csv,0.07009345794392523,0.07009345794392523,0.0,0.0
DOE2=T02_OneByOne=20180320_2_1.csv,0.6268656716417911,0.6268656716417911,0.0,0.0
DOE2=T02_OneByOne=20180320_2_2.csv,0.645933014354067,0.8038277511961722,0.3269214030812081,0.578691184424013
DOE2=T02_OneByOne=20180320_2_3.csv,0.7058823529411765,0.9411764705882353,0.4426229508196722,0.8589211618257262
DOE2=T02_OneByOne=20180331_1_1.csv,0.7171532846715327,0.5456204379562044,0.0,0.0
DOE2=T02_OneByOne=20180331_1_2.csv,0.4582798459563543,0.31322207958921694,0.0,0.0
DOE2=T02_OneByOne=20180331_1_3.csv,0.75,0.75,0.0,0.0
DOE2=T02_OneByOne=20180331_1_4.csv,0.70703125,0.70703125,0.0,0.0
DOE2=T02_OneByOne=20180331_1_5.csv,0.5666666666666667,0.5833333333333334,-0.03311258278145712,0.0
DOE2=T02_OneByOne=20180331_1_6.csv,0.6084656084656085,0.20634920634920634,0.21996653653095366,0.02409638554216864
DOE2=T02_OneByOne=20180331_1_7.csv,0.9175704989154013,0.9186550976138829,-0.0021452475615686417,0.0
DOE2=T02_OneByOne=sample1_1_1.csv,0.2440087145969499,0.11764705882352941,-0.23487544483985756,-0.2342887875226578
DOE2=T02_OneByOne=sample1_4_6.csv,0.655893536121673,0.5874524714828897,-0.0437652114806939,0.08344709075433221
