,raw_f1_score,filtered_f1_score,raw_kappa,filtered_kappa
SelectFeature=T15_OneByOne=20161223_1_1.csv,0.7463768115942029,0.6811594202898551,0.3846785380630183,0.34046199522073906
SelectFeature=T15_OneByOne=20161223_1_2.csv,0.7139588100686499,0.5835240274599542,0.29538858432763626,0.17368989735278229
SelectFeature=T15_OneByOne=20161223_6_1.csv,0.7154882154882155,0.6363636363636364,0.2112855324565125,0.14655172413793094
SelectFeature=T15_OneByOne=20161223_6_3.csv,0.7663230240549829,0.6701030927835051,0.4473860589812332,0.3356164383561644
SelectFeature=T15_OneByOne=20161226_1_1.csv,0.811965811965812,0.7393162393162394,0.5741935483870968,0.49025069637883
SelectFeature=T15_OneByOne=20161226_4_1.csv,0.754120879120879,0.657967032967033,0.3441507458780424,0.28242074927953886
SelectFeature=T15_OneByOne=20161226_4_2.csv,0.8888888888888888,0.7543859649122807,0.6685032139577594,0.4271813686393364
SelectFeature=T15_OneByOne=20161227_2_1.csv,0.7127659574468085,0.6648936170212766,0.1427123796655969,0.0769950124688279
SelectFeature=T15_OneByOne=20161227_2_3.csv,0.7951388888888888,0.8263888888888888,0.3604336043360433,0.4830557151062608
SelectFeature=T15_OneByOne=20161227_5_1.csv,0.7595628415300547,0.6857923497267759,0.37128133052237056,0.33839479392624716
SelectFeature=T15_OneByOne=20180320_1_3.csv,0.23636363636363636,0.2909090909090909,0.027982326951399017,0.03919372900335949
SelectFeature=T15_OneByOne=20180320_2_1.csv,0.8611111111111112,0.8611111111111112,0.7222222222222222,0.7222222222222222
SelectFeature=T15_OneByOne=20180320_2_2.csv,0.794392523364486,0.794392523364486,0.5395148669796557,0.5211554109031733
SelectFeature=T15_OneByOne=sample1_8_4.csv,0.5741935483870968,0.45161290322580644,0.14835164835164838,-0.09363326969369967
SelectFeature=T15_OneByOne=20161223_1_1.csv,0.751207729468599,0.6835748792270532,0.3865343116098403,0.3386581469648562
SelectFeature=T15_OneByOne=20161223_1_2.csv,0.7116704805491991,0.5812356979405034,0.29255319148936176,0.17179134000973495
